AM 09:30,剛起床－自家床上
nil,是不是如同他所說的，只能強壓自己心中的想法，戴上博愛的面具
nil,關愛身旁的每一個人
我,我知道我自己是什麼樣子
nil,我抓起冰奶茶跟我的卡啦雞腿堡袋子，蛋餅在盤子裡我帶不走
我,我有事情，我先走了
nil,我頭上開始浮出斗大的汗珠，我快步離開早餐店
nil,衝回家的路上，我第一個思考的不是剛剛的對話
nil,而是
nil,幹你娘　我忘記付錢了,258
nil,與其快上課才出門又要賭老師不會早點名
nil,不如現在就出門，在學校發呆就沒這個問題
nil,還可以在學校看來往的正妹
AM 07:30,剛到學校－學校內
nil,雖然已經讓步調緩慢些了，但是卻還是太早到了，學校裡面根本沒有幾個人
nil,也是，早八的人應該會在快上課前才來
nil,我坐在樹下的桌椅，看著每一個經過的人
nil,每一個都滑著手機，步調悠閒
nil,我拿出我的手機，把手機從睡眠狀態中甦醒
nil,看著我的推播欄，除了遊戲的通知，什麼都沒有
nil,為什麼有些人能夠總是的有人聊天呢？
nil,我開始後悔著這麼早到學校
nil,竟然想這些沒有意義的事情
nil,遠方突然有個人吸引了我的目光
nil,皮膚黝黑，腳步輕快
nil,如果要說早上在學校慢跑的人，老實說剛剛已經經過好幾個了
nil,不過就在他經過我身旁的時候
nil,他瞟了我一眼，步伐明顯踉蹌了一下，然後又繼續往前跑了
nil,跑了跑他突然停了下來
nil,往我這個方向走來
男0:誒？嗨，好久不見
nil,我嘗試著從他的眼神之中揣測他為何要停下來向我搭話
我,嗨，你練的真壯
男0,你上次同學會沒來對吧，怎麼不來
nil,天真的雙眼，我找不出惡意，真是高強的交際手段
我,對啊，那時候我在弄轉系的事情
男0,誒你轉系噢，我覺得資工系很適合你啊，你電腦超強的耶
nil,在那深不見底的雙眼之中，埋藏的多少的惡意
nil,什麼是很適合資工系
我,哈哈，我很會用電腦，不過寫程式還是不太行啦
男0,是噢，阿你後來轉到什麼系啊
我,統計系
男0,誒，那不錯啊，你應該馬上就駕輕就熟吧
我,啊，還可以啦，不過蠻多東西要從頭學就是
男0,那加油啦～我先繼續跑步，下次同學會要來噢
nil,「老師～你看這麼胖怎麼可能跑得完３０００」
nil,「誒？你不撐傘嗎，這樣頭髮有可能會掉耶」
nil,「他這樣怎麼可能吃的飽，至少還要再一份吧」
nil,刺耳
nil,不假思索的發言
我,你是每天早上都這樣跑步嗎
nil,我也不知道我為什麼要問這個問題，自卑感嗎？
nil,那我希望聽到怎麼樣的答案？
男0,沒有啦～是最近交女朋友想說油脂有點多
男0,想說跑個步會不會好一點
我,哈哈，你已經夠壯了啦，不用再練了
男0,哪有～好啦，掰掰
nil,突然覺得非常疲倦
nil,我就趴下來睡著了
nil,等等就直接去上早十吧
AM 10:10,剛上課－教室內
女Ｂ,這裡有人坐嗎？
我,沒有
nil,我將包包拿起
女Ｂ,上禮拜老師有點名嗎？
我,我想想
我,有的樣子，在中午下課以前有點名
女Ｂ,蛤～真可惜，班上有很多人沒有來嗎？
我,對啊，就是因為班上少的人數有點多，老師就點了名
nil,這時候老師步入了教室
女Ｂ,欸你跟妳高中同學熟嗎？
我,怎麼了嗎？
女Ｂ,你跟男０熟嗎？
nil,這還真是個有趣的問題
nil,熟嗎？　在某種程度上是真的蠻熟的
我,還不錯吧，我剛剛還遇到他
女Ｂ,是噢！那你知道他現在有女朋友嗎？
我,痾，好像有吧，似乎是最近交到的
女Ｂ,真的假的～怎麼會這樣，好不容易找到天菜的說
女Ｂ,好吧～那沒事了，我好不容易打聽到他對女生很好耶
我,呵呵，你那麼正，可以找到更好的啦
nil,她用狐疑的眼神看了我一眼
女Ｂ,哈哈
nil,這也是歸類在不假思索的發言嗎？
nil,是我嘴角的弧度不對
nil,還是我眼神所透露的情緒偏差
nil,為什麼
nil,為什麼他可以這麼自然
nil今天只有兩堂課，有一天課這麼少真的是很麻煩
凱翔,呦～要一起吃飯嗎？
我,要吃什麼，最近窮到吃土
凱翔,誰不是窮到吃土，但飯還是要吃啊
我,我想要直接龜回家，使用媽媽救援技術
凱翔,欸幹，好像很有道理......個頭勒
凱翔,我住宿舍無法使用此技術，你忍心放生你的偷摸他機這樣離開嗎
我,888888，金錢跟你比起來還是金錢比較重要
凱翔,好吧，你這個無情無義的傢伙
凱翔,我只好去吃便利商店了
我,吃這麼豪華噢，好吧你加油，掰
nil,其實也沒有這麼想要回去吃
nil,只是總覺得今天一整天不太順
nil,芒刺在背
nil,已經畢業三年了啊
nil,大家都長大了呢
nil,大學生似乎不會『直接』霸凌人了
nil,一直以來都不想去回想高中生活
nil,如今卻自己找上門來
nil,好想要躲在家裡，什麼都不做,357
AM 10:10,剛上課－教室內
女Ｂ,這裡有人坐嗎？
我,沒有
nil,我將包包拿起
女Ｂ,上禮拜老師有點名嗎？
我,我想想
我,有的樣子，在中午下課以前有點名
女Ｂ,蛤～真可惜，班上有很多人沒有來嗎？
我,對啊，就是因為班上少的人數有點多，老師就點了名
nil,這時候老師步入了教室
女Ｂ,欸你跟妳高中同學熟嗎？
我,怎麼了嗎？
女Ｂ,你跟男０熟嗎？
nil,這還真是個有趣的問題
nil,熟嗎？　在某種程度上是真的蠻熟的
我,還不錯吧，之前蠻常講話的
女Ｂ,是噢！那你知道他現在有女朋友嗎？
nil,誰管他有沒有女朋友啊，這種事情我哪知道
nil,nil,nil,幫他問,277,不理會,287
我,不太清楚耶，不然我今天等等幫你問問
女Ｂ,真的嗎？人也太好了吧～
女Ｂ,那就拜託你了噢，我都找不到線索，又不敢隨便打聽
女Ｂ,真的是太謝謝你了
我,不會啦，反正男生之間這種事情很好問
nil,男０，為什麼這麼的陰魂不散呢？
nil,你對我的人生，究竟是禍還是福呢？
nil,上了大學，以為是嶄新的人生
nil,但卻與過去不斷的重疊？,293
nil,難道就不能從零開始嗎
我,不太清楚耶，你怎麼不問問她
女Ｂ,蛤，直接問他很奇怪耶，你幫我問問他嘛
我,最近都沒跟他聯絡了啦，問這個超級奇怪的
女Ｂ,噢，好吧，那算了
nil,我直覺覺得這個交易的獲利一定非常的低，工具人還是有最低底線的自尊
nil,我繼續打開我的手機遊戲，開始滑
nil,今天只有兩堂課，有一天課這麼少真的是很麻煩
凱翔,呦～要一起吃飯嗎？
我,要吃什麼，最近窮到吃土
凱翔,誰不是窮到吃土，但飯還是要吃啊
我,我想要直接龜回家，使用媽媽救援技術
凱翔,欸幹，好像很有道理......個頭勒
凱翔,我住宿舍無法使用此技術，你忍心放生你的偷摸他機這樣離開嗎
我,888888，金錢跟你比起來還是金錢比較重要
凱翔,好吧，你這個無情無義的傢伙
凱翔,我只好去吃便利商店了
我,吃這麼豪華噢，好吧你加油，掰
nil,其實也沒有這麼想要回去吃
nil,只是總覺得今天一整天不太順
nil,芒刺在背
nil,已經畢業三年了啊
nil,大家都長大了呢
nil,大學生似乎不會『直接』霸凌人了
nil,一直以來都不想去回想高中生活
nil,如今卻自己找上門來
nil,好想要躲在家裡，什麼都不做
PM 22:00,房間內
nil,哎，當初怎麼會答應這種苦差事
nil,一邊抱怨自己的無用一邊想著該如何起頭
nil,總不能直接問他有沒有女朋友吧
nil,聽起來就是會進入友情的哲學線
nil,勢必得寒暄幾句了呢，該問些近況嗎
nil,不過比起這些，我到底該以怎麼樣的情緒去面對他
我,嗨
nil,在我打完字的那一個瞬間，我馬上把聊天視窗關掉
nil,以為這樣就能夠躲避鋪天蓋地席捲而來的緊張
nil,胃酸從我靈魂的深處蔓延上來
nil,這感覺應該叫做顫慄
nil,此時手機發出了尖銳的聲音
nil,平日常聽到的聲音在此時卻如同指甲劃過黑板一般
男0,嗨～怎麼了嗎？好久不見耶
nil,就如同過去的起手式，匕首上沾滿了蜂蜜
nil,我想著該如何回應
我,沒有啦，最近班上有人提到你的名字
男0,真假？？看來我們系的這個活動行銷做得還不錯
男0,他也是要來參加我們系的表演會嗎？
男0,我為了這次表演練習超久的耶，你要不要也來看看啊？
男0,就算不看我也來看我們系上女生跳舞啊，不過都有一點壯就是了
男0,你應該不會不喜歡有點肌肉線條的女生吧
nil,總覺得該陪他繼續演這齣
我,對啊，有個女生看到你們系的表演對你也很有興趣
男0,真的假的，長得怎麼樣啊，啊！不對
我,怎麼了，她長得還不錯啊，可愛型的
男0,啊～真可惜，我最近才剛交女朋友，不過你還是可以給我看看她長什麼樣子
nil,哇靠，這好問的程度
nil,虧我還懊惱如此的久，他就自己說出來了
男0,誒，對了，你去年的同學會怎麼沒有來？
nil,還好我是在電腦前，不然我想我應該早就崩潰了
我,那天剛好有些事情
男0,真的假的，那你怎麼不早說，我們就約別天就好了啊
我,沒關係拉，反正有的還是機會，以後再約就好了啊
男0,也是拉，我們現在還同一個學校呢～不過都沒有遇到就是，到底是為什麼呢？學校有這麼大嗎
我,可能因為科系的關係吧，都沒有遇到
我,欸沒事了拉，我等等還有作業要忙，先閃了掰掰
男0,你先忙你的，有空再聊天，掰掰囉～
nil,廢話真的很多，如果我不停止他不知道要跟我聊到什麼時候
nil,跟他聊天真的很花體力，我爬上了床鋪
nil,要用哪一種方式去回答女Ｂ呢？哪種媒介能夠聊最久呢？不知道他會不會傷心，要不要安慰她呢？
nil,會不會就這麼剛好，她就對我有興趣了呢？，會不會就這麼剛好，她就和我聊天呢？
nil,會不會那麼剛好．．．．．．會不會那麼剛．．．．．．,407
nil,如果今天早上沒有遇到男０的話，今天一整天應該算是一個好日子
nil,不過老實說，看到了他本人，卻又有一種釋懷的感覺
nil,三年來憎恨的膨脹，讓男０在我印象中已經變成了恐懼的化身
nil,如今見到了肉身，覺得　其實也還好，就是一個普通的大學生
nil,一直以來我到底都在畏懼什麼呢？到底是別人口中的肥宅
nil,還是自己口中的肥宅，會不會所有的敵人都是我自已樹立的，會不會是我排擠了全部的人
nil,讓我想起了小時候玩的軒轅劍
nil,「簡單來說，是妳未曾認真的考慮過現在和以前有什麼不同」
nil,「而用以前的結果來決定現在的結果。所以換句話說，你以前是什麼，現在還是什麼」
nil,過去他們真的是對我不太友善，但　現在呢？
nil,究竟是他們不願意接近我，還是我自己築了一座牆，只讓跟我可悲的人進城
nil,即使這樣，難道我該從明天起去跟別人套近乎嗎？去當陽光肥宅？
nil,我望著漆黑的天花板，張著眼，看著天花板越來越黑
nil,然後，我閉上雙眼,407
PM 10:00,電腦桌前
我,哎，雖然沒有辦法打贏，不過感覺再過個幾天，就能夠攻下那個副本
我,拓荒團真是辛苦
nil,啊，已經晚上十點了啊
nil,我看了看桌上的泡麵碗，想起了高中生活
nil,有一段時期為了買模型很常吃泡麵
nil,後來導師還打電話給媽，我媽表示都有給兒子飯錢
nil,想這這些沒營養的事情，卻也不自覺地翻出了高中的畢業紀念冊
nil,老實說畢業之後沒有認真看過，應該說不太想去看
nil,首先印入眼簾的是班上的導師
我,不想要惹麻煩是嗎？
nil,我們導師就是一個想要安然得帶完我們班的感覺
nil,所以除了像是我午餐一直吃泡麵那種噓寒問暖
nil,基本上不會去管我們班級內的實際運作
nil,當然也沒有發現我受到的痛苦
nil,再來我看到了男０，一切起源的開端
nil,一個既虛偽又噁心的男子，成天想要讓班上和樂融融
nil,他非常喜歡開一些玩笑讓班上同學歡笑
nil,不過他應該沒有想過，玩笑本身感受
nil,他沒有想過，玩笑本身　也是一個人
我,哀．．．．．．
nil,這麼說他好像還和我同個學校，想到就覺得麻煩
nil,在我心煩之際，我看向另一張照片，女０
nil,沙龍照的燈光使得照片看不出黑眼圈
nil,不過一單一雙的眼皮卻還是很明顯
nil,不對稱且不完美但卻又完美的臉龐
我,不知何年何月還會再見到他，真是個善．．．．．．
nil,「欸幹，超噁心的耶，不知道他幾天洗一次澡」
我,算了，我們班沒有一個善類
nil,就在想要闔上畢業紀念冊之際
nil,我看到了孟庭的照片，大概是高中對我最友善的人吧
nil,不過她長得太普通了，也有點煩人，成天問我一些智障問題
nil,哪像現在，沒有任何人煩我．．．．．．
nil,不知道　她過得怎麼樣，在社群網站找她的名字都找不到
nil,這次我真的闔上了畢業紀念冊，躺在床上
我,到底該怎麼樣才能再次相遇呢？
###
