Ｘ,你讓自己成為你所想像別人所想要的樣子，但你有沒有想過這只是你自己的幻想
我,我不討好別人，難道別人會看見我嗎？我沒有利用價值，我與消失於這世界上有何區別？
Ｘ,就如同剛剛所講，人類都是利己主義，如果你不求回報的磨鈍自己的銳角，那也無妨
Ｘ,但你不斷地將全世界都對你不夠好的想法埋藏於心中，但卻又笑嘻嘻的幫助人
Ｘ,曾經有人霸凌過你，不代表你現在不能擁有尊嚴。
Ｘ,你有沒有想過我為什麼存在，為什麼要與我辯駁，道理你都懂
Ｘ,我知道你是誰，我也知道你的價值，肥宅並不是一種表象，而是一種深植於心　一種緩緩蔓延以至於擴散至整個思想的潛意識
我,．．．．．．
nil,我看著天花板，是啊，道理我都懂，那又如何，我改變得了什麼
nil,翻個身，又想著自己遊戲的角色配裝
###,
